zip_name,internal_path,run_id,sensor_id,file_size_kb
Training Data 1.zip,Run_166/Radars_Run_166_sensor1.json,0166,1,1218.9
Training Data 1.zip,Run_166/Radars_Run_166_sensor4.json,0166,4,1132.6
Training Data 1.zip,Run_166/Radars_Run_166_sensor2.json,0166,2,1278.6
Training Data 1.zip,Run_166/Radars_Run_166_sensor3.json,0166,3,0.6
Training Data 1.zip,Run_844/Radars_Run_844_sensor2.json,0844,2,832.0
Training Data 1.zip,Run_844/Radars_Run_844_sensor3.json,0844,3,841.8
Training Data 1.zip,Run_844/Radars_Run_844_sensor1.json,0844,1,1610.2
Training Data 1.zip,Run_844/Radars_Run_844_sensor4.json,0844,4,1473.7
Training Data 1.zip,Run_327/Radars_Run_327_sensor2.json,0327,2,1072.5
Training Data 1.zip,Run_327/Radars_Run_327_sensor3.json,0327,3,1013.5
Training Data 1.zip,Run_327/Radars_Run_327_sensor1.json,0327,1,752.9
Training Data 1.zip,Run_327/Radars_Run_327_sensor4.json,0327,4,541.3
Training Data 1.zip,Run_717/Radars_Run_717_sensor3.json,0717,3,1293.1
Training Data 1.zip,Run_717/Radars_Run_717_sensor2.json,0717,2,1213.1
Training Data 1.zip,Run_717/Radars_Run_717_sensor4.json,0717,4,586.5
Training Data 1.zip,Run_717/Radars_Run_717_sensor1.json,0717,1,827.5
Training Data 1.zip,Run_257/Radars_Run_257_sensor1.json,0257,1,778.8
Training Data 1.zip,Run_257/Radars_Run_257_sensor4.json,0257,4,613.2
Training Data 1.zip,Run_257/Radars_Run_257_sensor2.json,0257,2,941.2
Training Data 1.zip,Run_257/Radars_Run_257_sensor3.json,0257,3,761.2
Training Data 1.zip,Run_1016/Radars_Run_1016_sensor2.json,1016,2,1951.5
Training Data 1.zip,Run_1016/Radars_Run_1016_sensor3.json,1016,3,0.6
Training Data 1.zip,Run_1016/Radars_Run_1016_sensor1.json,1016,1,1732.8
Training Data 1.zip,Run_1016/Radars_Run_1016_sensor4.json,1016,4,1400.4
Training Data 1.zip,Run_1239/Radars_Run_1239_sensor4.json,1239,4,945.6
Training Data 1.zip,Run_1239/Radars_Run_1239_sensor1.json,1239,1,920.7
Training Data 1.zip,Run_1239/Radars_Run_1239_sensor3.json,1239,3,0.6
Training Data 1.zip,Run_1239/Radars_Run_1239_sensor2.json,1239,2,1009.4
Training Data 1.zip,Run_1276/Radars_Run_1276_sensor3.json,1276,3,0.6
Training Data 1.zip,Run_1276/Radars_Run_1276_sensor2.json,1276,2,739.5
Training Data 1.zip,Run_1276/Radars_Run_1276_sensor4.json,1276,4,1369.4
Training Data 1.zip,Run_1276/Radars_Run_1276_sensor1.json,1276,1,1470.7
