zip_name,internal_path,run_id,file_size_kb
Training Data 1.zip,Run_166/Radars_Run_166_traffic-triggers-output.json,0166,7054.7
Training Data 1.zip,Run_844/Radars_Run_844_traffic-triggers-output.json,0844,4140.1
Training Data 1.zip,Run_327/Radars_Run_327_traffic-triggers-output.json,0327,6282.3
Training Data 1.zip,Run_717/Radars_Run_717_traffic-triggers-output.json,0717,6804.2
Training Data 1.zip,Run_257/Radars_Run_257_traffic-triggers-output.json,0257,2544.6
Training Data 1.zip,Run_1016/Radars_Run_1016_traffic-triggers-output.json,1016,9729.6
Training Data 1.zip,Run_1239/Radars_Run_1239_traffic-triggers-output.json,1239,6328.2
Training Data 1.zip,Run_1276/Radars_Run_1276_traffic-triggers-output.json,1276,6592.8
Training Data 1.zip,Run_1196/Radars_Run_1196_traffic-triggers-output.json,1196,1992.0
Training Data 1.zip,Run_1075/Radars_Run_1075_traffic-triggers-output.json,1075,4808.2
Training Data 1.zip,Run_1301/Radars_Run_1301_traffic-triggers-output.json,1301,5117.4
Training Data 1.zip,Run_912/Radars_Run_912_traffic-triggers-output.json,0912,9347.5
Training Data 1.zip,Run_48/Radars_Run_48_traffic-triggers-output.json,0048,6856.3
Training Data 1.zip,Run_172/Radars_Run_172_traffic-triggers-output.json,0172,3107.2
Training Data 1.zip,Run_939/Radars_Run_939_traffic-triggers-output.json,0939,5526.9
Training Data 1.zip,Run_834/Radars_Run_834_traffic-triggers-output.json,0834,3120.3
Training Data 1.zip,Run_1318/Radars_Run_1318_traffic-triggers-output.json,1318,6732.4
Training Data 1.zip,Run_464/Radars_Run_464_traffic-triggers-output.json,0464,6006.8
Training Data 1.zip,Run_312/Radars_Run_312_traffic-triggers-output.json,0312,9236.5
Training Data 1.zip,Run_1124/Radars_Run_1124_traffic-triggers-output.json,1124,11337.9
Training Data 1.zip,Run_1153/Radars_Run_1153_traffic-triggers-output.json,1153,6732.4
Training Data 1.zip,Run_381/Radars_Run_381_traffic-triggers-output.json,0381,7182.4
Training Data 1.zip,Run_1023/Radars_Run_1023_traffic-triggers-output.json,1023,6123.6
Training Data 1.zip,Run_526/Radars_Run_526_traffic-triggers-output.json,0526,3108.9
Training Data 1.zip,Run_901/Radars_Run_901_traffic-triggers-output.json,0901,7709.8
Training Data 1.zip,Run_621/Radars_Run_621_traffic-triggers-output.json,0621,5711.2
Training Data 1.zip,Run_1120/Radars_Run_1120_traffic-triggers-output.json,1120,3199.3
Training Data 1.zip,Run_751/Radars_Run_751_traffic-triggers-output.json,0751,7632.4
Training Data 1.zip,Run_55/Radars_Run_55_traffic-triggers-output.json,0055,4535.5
Training Data 1.zip,Run_181/Radars_Run_181_traffic-triggers-output.json,0181,4963.5
Training Data 1.zip,Run_112/Radars_Run_112_traffic-triggers-output.json,0112,6046.3
Training Data 1.zip,Run_1118/Radars_Run_1118_traffic-triggers-output.json,1118,5568.2
Training Data 1.zip,Run_254/Radars_Run_254_traffic-triggers-output.json,0254,3816.3
Training Data 1.zip,Run_1165/Radars_Run_1165_traffic-triggers-output.json,1165,4541.0
Training Data 1.zip,Run_1086/Radars_Run_1086_traffic-triggers-output.json,1086,6721.0
Training Data 1.zip,Run_157/Radars_Run_157_traffic-triggers-output.json,0157,3838.0
Training Data 1.zip,Run_83/Radars_Run_83_traffic-triggers-output.json,0083,7053.9
Training Data 1.zip,Run_120/Radars_Run_120_traffic-triggers-output.json,0120,9742.2
Training Data 1.zip,Run_436/Radars_Run_436_traffic-triggers-output.json,0436,6119.5
Training Data 1.zip,Run_1230/Radars_Run_1230_traffic-triggers-output.json,1230,5347.0
Training Data 1.zip,Run_1198/Radars_Run_1198_traffic-triggers-output.json,1198,5456.7
Training Data 1.zip,Run_823/Radars_Run_823_traffic-triggers-output.json,0823,7446.0
Training Data 1.zip,Run_1272/Radars_Run_1272_traffic-triggers-output.json,1272,8730.2
Training Data 1.zip,Run_149/Radars_Run_149_traffic-triggers-output.json,0149,6031.0
Training Data 1.zip,Run_694/Radars_Run_694_traffic-triggers-output.json,0694,6702.0
Training Data 1.zip,Run_607/Radars_Run_607_traffic-triggers-output.json,0607,8502.4
Training Data 1.zip,Run_106/Radars_Run_106_traffic-triggers-output.json,0106,8705.0
Training Data 1.zip,Run_861/Radars_Run_861_traffic-triggers-output.json,0861,10793.0
Training Data 1.zip,Run_966/Radars_Run_966_traffic-triggers-output.json,0966,4909.3
Training Data 1.zip,Run_302/Radars_Run_302_traffic-triggers-output.json,0302,7961.7
Training Data 1.zip,Run_1149/Radars_Run_1149_traffic-triggers-output.json,1149,7449.4
Training Data 1.zip,Run_272/Radars_Run_272_traffic-triggers-output.json,0272,6826.9
